epoch,accuracy,loss,val_accuracy,val_loss
0,0.9937499761581421,0.010303901508450508,0.5,16.09784698486328
1,1.0,2.637529361582125e-10,0.5,16.09789276123047
2,1.0,9.621044239072063e-11,0.5,16.097915649414062
3,1.0,1.4201617659637122e-10,0.5,16.097949981689453
4,1.0,1.3858551806134045e-10,0.5,16.097986221313477
5,1.0,1.70443534286413e-10,0.5,16.098026275634766
6,1.0,1.6368489896834149e-10,0.5,16.098064422607422
7,1.0,2.515914976353173e-10,0.5,16.098129272460938
8,1.0,6.144915132288986e-11,0.5,16.0981388092041
9,1.0,7.567476506542548e-11,0.5,16.09815788269043
